"section","subsection","element","Value"
"Overview","Authorship","Study title","Components of uncertainty in species distribution analysis: a case study of the Great Grey Shrike"
"Overview","Authorship","Author names","Carsten F. Dormann; Oliver Purschke; Jaime García Márquez; Sven Lautenbach; Boris Schroeder"
"Overview","Authorship","Contact ","carsten.dormann@biom.uni-freiburg.de"
"Overview","Authorship","doi ","10.1890/07-1772.1"
"Overview","Model objective","Model objective","Forecast and transfer"
"Overview","Model objective","Target output","probability of occurrence of the target bird species"
"Overview","Focal Taxon","Focal Taxon","Great Grey Shrike, Lanius excubitor, Laniidae, Passeriformes, Aves"
"Overview","Location","Location","Saxony, Germany, Europe"
"Overview","Scale of Analysis","Spatial extent","11.87, 15.04, 50.17, 51.68 (xmin, xmax, ymin, ymax)"
"Overview","Scale of Analysis","Spatial resolution","5.6 km x 5.6 km"
"Overview","Scale of Analysis","Temporal extent","single time slice, 1993-1996"
"Overview","Scale of Analysis","Temporal resolution",""
"Overview","Scale of Analysis","Boundary","political"
"Overview","Biodiversity data","Observation type","standardised monitoring data"
"Overview","Biodiversity data","Response data type","presence/absence"
"Overview","Predictors","Predictor types","climatic; edaphic; topographic; land cover"
"Overview","Hyptheses","Hypotheses","shrike abundance is strongly affected by landscape composition, requiring a mix of hedges for perching and open grassland for hunting; the species is widespread, if not abundant, in Eurasia, without obvious associations to climate"
"Overview","Assumptions","Model assumptions","Implicitly, we assume that sampling is homogeneous or related to distance to settlements (which is one of our predictors); for projections, we assume that the current distribution’s delimiting factors will also form the niche of the species in the future; that we have included all species-relevant predictors that are likely to change in the future"
"Overview","Algorithms","Modelling techniques","glm; gam; ann"
"Overview","Algorithms","Model complexity","Non-linear and interacting predictors to allow for more realistic cause-effect representation. Model selection to reduce predictive variance; virtual species analysis and randomisation of data analysis to explore the probability of creating spurious results due to the flexible algorithms."
"Overview","Algorithms","Model averaging","No model averaging/ensemble modelling. We explicitly quantified uncertainty introduced in various steps of an SDM analysis."
"Overview","Workflow","Model workflow","We tried to always use three variations for every step of the analysis: three data qualities (b, c, d; see Data section), three collinearity methods (none, PCA, sequential regression), three variable selection approaches (stepAIC, best subset AIC, AIC with >20 records per variable), three SDM algorithms (GLM, GAM and ANN), three climate scenarios (A1B, A2 and B2) and three rainfall realisations (wet, normal, dry), as to directly be able to compare their contribution to the overall prediction uncertainty. We combined all levels of the 4 factors of our analysis, yielding 81 models; each model was 5-fold cross-validated (randomly selected); mean CV-AUC is the measure of model quality; each model then predicts to each of the 9 scenario realisations, yielding 729 projections of probability of occurrence for each cell. The workflow is also depicted in Fig. 2 in the paper."
"Overview","Software","Software","R (version 2.3.1-2.6.0) with packages MASS, mgcv, nnet, verification (and others); own functions for stepwise selection of ANN; sequential regression; AICcEPV20"
"Overview","Software","Code availability","code not shared, available on request"
"Overview","Software","Data availability","data not shared, available on request"
"Data","Biodiversity data","Taxon names","Lanius excubitor"
"Data","Biodiversity data","Taxonomic reference system",""
"Data","Biodiversity data","Ecological level","populations"
"Data","Biodiversity data","Data sources","data provided by the Saxonian breeding bird survey (www.umwelt.sachsen.de/de/wu/umwelt/lfug/), orchestrated by the Saxonian Ministry for the Environment; accessed in 2006"
"Data","Biodiversity data","Sampling design","specific sampling design and sampling effort unknown (> 400 observers); 550 cells"
"Data","Biodiversity data","Sample size","three levels of decreasing confidence of breeding status: prevalence 57/550, 89/550 and 128/550 for d, c and b records, respectively"
"Data","Biodiversity data","Clipping","German state of Saxony "
"Data","Biodiversity data","Scaling",""
"Data","Biodiversity data","Cleaning",""
"Data","Biodiversity data","Absence data","non-observation of species was treated as absence"
"Data","Biodiversity data","Background data",""
"Data","Biodiversity data","Errors and biases","breeding records come in three levels of increasing certainty (b to d, e.g. from nest building to fledgling feeding) ; misidentification error low (as visual identification is required for b/c/d classification); bird is conspicuous in behaviour and appearance"
"Data","Data partitioning","Training data","5-fold cross-validation (same folds for all approaches) "
"Data","Data partitioning","Validation data","5-fold cross-validation (same folds for all approaches) "
