"section","subsection","element","Value"
"Overview","Authorship","Study title","Predicting the distribution of shrub species in southern California from climate and terrain-derived variables"
"Overview","Authorship","Author names","Janet Franklin"
"Overview","Authorship","Contact ","janet.franklin1@gmail.com"
"Overview","Authorship","doi ","10.2307/3237291"
"Overview","Model objective","Model objective","Mapping and interpolation"
"Overview","Model objective","Target output","continuous habitat suitability index (probability of species presence)"
"Overview","Focal Taxon","Focal Taxon","20 shrub species that are commonly found in the chaparral and coastal sage scrub communities of southern California"
"Overview","Location","Location","California’s southwest ecoregion"
"Overview","Scale of Analysis","Spatial extent",
"Overview","Scale of Analysis","Spatial resolution","30 m"
"Overview","Scale of Analysis","Temporal extent","period of climate normals (30 prior years averaged)"
"Overview","Scale of Analysis","Temporal resolution","single time period"
"Overview","Scale of Analysis","Boundary","natural"
"Overview","Biodiversity data","Observation type","field survey"
"Overview","Biodiversity data","Response data type","presence/absence"
"Overview","Predictors","Predictor types","climatic; edaphic; topographic"
"Overview","Hyptheses","Hypotheses","Climate, soils and topography are correlated with plant distributions"
"Overview","Assumptions","Model assumptions","Species–environment equilibrium, Availability of all important predictors"
"Overview","Algorithms","Modelling techniques","glm; gam; CART"
"Overview","Algorithms","Model complexity","we let the data determine model complexity in CT and GAM, and used the response shape of GAMs as indication to define the complexity of GLMs"
"Overview","Algorithms","Model averaging","none"
"Overview","Workflow","Model workflow","GAMs were first parameterized using all environmental and spatial variables, and smoothing splines, to assess the validity of the linear model for each bivariate relationship, and to explore the shape of the response curve and strength of the relationship between each species and explanatory variable. Then, GLMs were parameterized using all variables and using response functions suggested by the GAM."
"Overview","Software","Software","S-Plus software version 3.3 for Windows"
"Overview","Software","Code availability","not available"
"Overview","Software","Data availability","not available"
"Data","Biodiversity data","Taxon names","Adenostoma fasciculatum, Adenostoma sparsifolium, Arctostaphylos glandulosa, Arctostaphylos glauca, Ceanothus crassifolius, Ceanothus greggii-perplexans, Ceanothus leucodermis, Ceanothus tomentosus, Cercocarpus betuloides, Heteromeles arbutifolia, Quercus berberidifolia, Quercus wislizenii, Rhus ovata, Xylococcus bicolor, Yucca whipplei, Artemisia californica, Eriogonum fasciculatum, Malosma laurina,
Salvia apiana
Salvia mellifera"
"Data","Biodiversity data","Taxonomic reference system","Jepson Flora of California"
"Data","Biodiversity data","Ecological level","species"
"Data","Biodiversity data","Data sources","USDA Forest Service"
"Data","Biodiversity data","Sampling design","Subjective spatial sampling (representative sampling of plant communities; once-off temporal sampling"
