field1,field2,field3,entity,class,taxonSpecific,constrainedValues,family,examples,description
authorship,,,rmmName,character,no,NULL,base,MerowMaitnerOwensKassEnquistGuralnick_2018_Acer_Maxent_b3,"Use the format Author_Year_Taxa_Model_fw, where the last two characters (here, fw) are alphanumeric and random."
authorship,,,names,character vector,no,NULL,base,"Merow, Cory and Maitner, Brian and Owens, Hannah and Kass, Jamie and Enquist, Brian and Guralnick, Rob;","The names of those who created this model. Use the format Last, First and Last, First and Last, First, following bibtex conventions."
authorship,,,license,character,no,CC; CC BY; CC BY-SA; CC BY-ND; CC BY-NC; CC BY-NC-SA; CC BY-NC-ND; other,base,CC; CC BY; CC BY-SA; CC BY-ND; CC BY-NC; CC BY-NC-SA; CC BY-NC-ND,The license under which this model has been produced.  See https://creativecommons.org/licenses/ for common options.
authorship,,,contact,character,no,NULL,base,my.name@gmail.com,An email address for someone responsible for creating this model.
authorship,,,relatedReferences,character vector,no,NULL,base,"@article{maitner2017bien,title={The bien r package: A tool to access the Botanical Information and Ecology Network (BIEN) database},author={Maitner, Brian S and Boyle, Brad and Casler, Nathan and Condit, Rick and Donoghue, John and Dur{\'a}n, Sandra M and",A single bibtex format citation or vector of citations; User specified
authorship,,,authorNotes,character,no,NULL,base,All authors contributed equally to the production of these models.,User specified. Any information related to author/ownership.
authorship,,,miscNotes,character,no,NULL,base,Funded by NSF grant xxxx,User specified; Any context for the models that didn't fit elsewhere
authorship,,,doi,character,no,NULL,base,https://doi.org/10.1111/j.1600-0587.2013.07872.x,Digital Object Identifier for manuscripts related to the model
studyObjective,,,purpose,character,no,explanation; prediction; projection,base,projection,"See definitions in  Araujo et al. (2019, Science Advances;  10.1126/sciadv.aat4858)"
studyObjective,,,rangeType,character,no,potential;suitableArea;fundamental;realized;occupied; other;,base,potential; realized,Type of range the study focuses on. Use 'potential' if describing suitable habitat that may be occupied or unoccupied. Use 'realized' when describing only locations that are occupied.
studyObjective,,,invasion,character,no,native;invasive;naturalized;colonized; other;,base,native; invasive; naturalized; colonized,"If an invasion study, what type of data is the model fitted with. If not an invasion study, set to NULL."
studyObjective,,,transfer,character,no,native;invasive;naturalized;colonized; other;,base,native; invasive; naturalized; colonized,"If an invasion study, what type of data is the model transferred to. If not an invasion study, set to NULL."
studyObjective,,,assumptions,character,,,ODMAP,,
studyObjective,,,hypotheses,character,,,ODMAP,,
studyObjective,,,,character,,,ODMAP,,
studyObjective,,,,character,,,ODMAP,,
studyObjective,,,workflow,character,,,ODMAP,,
data,occurrence,,sampling design,character,,,ODMAP,,
data,occurrence,,taxon,character vector,yes,NULL,base,Acer rubrum; Nasua_nasua; ,A character vector containing all of the units (typically taxon names) used in the model(s). Other phylogroups or operational taxonomic units are also acceptable.
data,occurrence,,dataType,character vector,no,presence only; presence absence; abundance; occupancy; other,base,presence only;  presence-absence; abundance,"The type of records used in modeling. If multiple types are combined this can be a vector. For example some point process modeling frameworks combine presence only and presence absence data so this would be specified (in R) as c('presence only', 'presences absence')."
data,occurrence,,occurrenceType,character vector,no,breeding;wintering;migratory;resident; other;,NULL,breeding; wintering; migratory; resident,"If applicable, see examples, else NULL."
data,occurrence,,yearMin,integer vector,optional,NULL,base,1900,"If a temporal range of records was used, this is the earliest year used.  Absence or NA implies that there was no lower limit."
data,occurrence,,yearMax,integer vector,optional,NULL,base,2000,"If a temporal range of records was used, this is the latest year used.  Absence or NA implies there is no upper boundary used."
data,occurrence,,sources,character vector,optional,NULL,base,"@article{maitner2017bien,title={The bien r package: A tool to access the Botanical Information and Ecology Network (BIEN) database},author={Maitner, Brian S and Boyle, Brad and Casler, Nathan and Condit, Rick and Donoghue, John and Dur{\'a}n, Sandra M and",bibtex format citation or vector of citations or a traditional reference format as specified by a journal or user specified.
